,Servers,Values,Amount of customers
96,1 server(s),128.04381879585446,100000
97,1 server(s),139.83432714623456,100000
98,1 server(s),124.00805685779407,100000
99,1 server(s),153.00593578603284,100000
100,1 server(s),143.11665178798688,100000
101,1 server(s),118.98321938108016,100000
102,1 server(s),144.95499595935544,100000
103,1 server(s),122.09846787728918,100000
104,1 server(s),125.88581751402322,100000
105,1 server(s),129.23962809601116,100000
106,1 server(s),140.7269544366513,100000
107,1 server(s),126.32765316472278,100000
108,1 server(s),142.3492337784318,100000
109,1 server(s),155.75733377522283,100000
110,1 server(s),144.59891402909315,100000
111,1 server(s),138.78947564030142,100000
112,1 server(s),137.33250838322516,100000
113,1 server(s),144.64756935298752,100000
114,1 server(s),142.9102365404909,100000
115,1 server(s),125.99183827636428,100000
116,1 server(s),141.0336366170697,100000
117,1 server(s),148.706656457706,100000
118,1 server(s),140.4958907697557,100000
119,1 server(s),135.28104509578336,100000
120,1 server(s),139.23496298637752,100000
121,1 server(s),150.6168722454696,100000
122,1 server(s),151.0863899138131,100000
123,1 server(s),140.88800679291532,100000
124,1 server(s),185.0638611879383,100000
125,1 server(s),139.3902260868361,100000
126,1 server(s),142.79210821359695,100000
127,1 server(s),152.6228779508171,100000
128,1 server(s),138.99479091411845,100000
129,1 server(s),145.2625757616237,100000
130,1 server(s),126.4665881049495,100000
131,1 server(s),135.42989123237263,100000
132,1 server(s),126.13849034008285,100000
133,1 server(s),130.35461587742836,100000
134,1 server(s),119.75798712576855,100000
135,1 server(s),128.0881070868526,100000
136,1 server(s),135.89476970779526,100000
137,1 server(s),135.19042286304966,100000
138,1 server(s),145.76531095479683,100000
139,1 server(s),121.16595728482679,100000
140,1 server(s),159.70464871768752,100000
141,1 server(s),130.5144889127626,100000
142,1 server(s),150.96023174723447,100000
143,1 server(s),159.55946813256753,100000
144,1 server(s),125.23259688268534,100000
145,1 server(s),137.90605356885982,100000
146,1 server(s),148.10654148105056,100000
147,1 server(s),130.97943986398437,100000
148,1 server(s),125.43957306049325,100000
149,1 server(s),133.2290343263464,100000
