,Servers,Values
124,1 server(s),78.51733519013666
125,1 server(s),64.7416052892566
126,1 server(s),77.04872432778859
127,1 server(s),69.49405778970751
128,1 server(s),81.06683737965443
129,1 server(s),73.10235778294108
130,1 server(s),76.3972197810647
131,1 server(s),67.35495847980462
132,1 server(s),92.42659817222864
133,1 server(s),88.8033488111166
134,1 server(s),71.04794124666591
135,1 server(s),79.96939255706637
136,1 server(s),78.12789679053175
137,1 server(s),78.4263974735738
138,1 server(s),71.98010312779864
139,1 server(s),59.931105772671174
140,1 server(s),78.71962521477705
141,1 server(s),74.7777728829914
142,1 server(s),68.18947460063063
143,1 server(s),79.15511711970912
144,1 server(s),88.82308326741607
145,1 server(s),78.72285730951594
146,1 server(s),79.89290753020788
147,1 server(s),69.24124106120594
148,1 server(s),72.29080402617326
149,1 server(s),82.87741590197284
150,1 server(s),72.31536831174603
151,1 server(s),73.63305032847698
152,1 server(s),87.96458436195
153,1 server(s),103.37542946153035
154,1 server(s),72.41908550489033
155,1 server(s),71.75871315801292
156,1 server(s),76.1138261426428
157,1 server(s),62.54643733001044
158,1 server(s),83.30046313624443
159,1 server(s),78.51733519013666
160,1 server(s),64.7416052892566
161,1 server(s),77.04872432778859
162,1 server(s),69.49405778970751
163,1 server(s),81.06683737965443
164,1 server(s),73.10235778294108
165,1 server(s),76.3972197810647
166,1 server(s),67.35495847980462
167,1 server(s),92.42659817222864
168,1 server(s),88.8033488111166
169,1 server(s),71.04794124666591
170,1 server(s),79.96939255706637
171,1 server(s),78.12789679053175
172,1 server(s),78.4263974735738
173,1 server(s),71.98010312779864
174,1 server(s),59.931105772671174
175,1 server(s),78.71962521477705
176,1 server(s),74.7777728829914
177,1 server(s),68.18947460063063
178,1 server(s),79.15511711970912
179,1 server(s),88.82308326741607
180,1 server(s),78.72285730951594
181,1 server(s),79.89290753020788
182,1 server(s),69.24124106120594
183,1 server(s),72.29080402617326
184,1 server(s),82.87741590197284
185,1 server(s),72.31536831174603
186,1 server(s),73.63305032847698
187,1 server(s),87.96458436195
188,1 server(s),103.37542946153035
189,1 server(s),72.41908550489033
190,1 server(s),71.75871315801292
191,1 server(s),76.1138261426428
192,1 server(s),62.54643733001044
193,1 server(s),83.30046313624443
194,1 server(s),78.51733519013666
195,1 server(s),64.7416052892566
196,1 server(s),77.04872432778859
197,1 server(s),69.49405778970751
198,1 server(s),81.06683737965443
199,1 server(s),73.10235778294108
200,1 server(s),76.3972197810647
201,1 server(s),67.35495847980462
202,1 server(s),92.42659817222864
203,1 server(s),88.8033488111166
204,1 server(s),71.04794124666591
205,1 server(s),79.96939255706637
206,1 server(s),78.12789679053175
207,1 server(s),78.4263974735738
208,1 server(s),71.98010312779864
209,1 server(s),59.931105772671174
210,1 server(s),78.71962521477705
211,1 server(s),74.7777728829914
212,1 server(s),68.18947460063063
213,1 server(s),79.15511711970912
214,1 server(s),88.82308326741607
215,1 server(s),78.72285730951594
216,1 server(s),79.89290753020788
217,1 server(s),69.24124106120594
218,1 server(s),72.29080402617326
219,1 server(s),82.87741590197284
220,1 server(s),72.31536831174603
221,1 server(s),73.63305032847698
222,1 server(s),87.96458436195
223,1 server(s),103.37542946153035
224,1 server(s),72.41908550489033
225,1 server(s),71.75871315801292
226,1 server(s),76.1138261426428
227,1 server(s),62.54643733001044
228,1 server(s),83.30046313624443
229,1 server(s),78.51733519013666
230,1 server(s),64.7416052892566
231,1 server(s),77.04872432778859
232,1 server(s),69.49405778970751
233,1 server(s),81.06683737965443
234,1 server(s),73.10235778294108
235,1 server(s),76.3972197810647
236,1 server(s),67.35495847980462
237,1 server(s),92.42659817222864
238,1 server(s),88.8033488111166
239,1 server(s),71.04794124666591
240,1 server(s),79.96939255706637
241,1 server(s),78.12789679053175
242,1 server(s),78.4263974735738
243,1 server(s),71.98010312779864
244,1 server(s),59.931105772671174
245,1 server(s),78.71962521477705
246,1 server(s),74.7777728829914
247,1 server(s),68.18947460063063
248,1 server(s),79.15511711970912
249,1 server(s),88.82308326741607
250,1 server(s),78.72285730951594
251,1 server(s),79.89290753020788
252,1 server(s),69.24124106120594
253,1 server(s),72.29080402617326
254,1 server(s),82.87741590197284
255,1 server(s),72.31536831174603
256,1 server(s),73.63305032847698
257,1 server(s),87.96458436195
258,1 server(s),103.37542946153035
259,1 server(s),72.41908550489033
260,1 server(s),71.75871315801292
261,1 server(s),76.1138261426428
262,1 server(s),62.54643733001044
263,1 server(s),83.30046313624443
264,1 server(s),78.51733519013666
265,1 server(s),64.7416052892566
266,1 server(s),77.04872432778859
267,1 server(s),69.49405778970751
268,1 server(s),81.06683737965443
269,1 server(s),73.10235778294108
