,Servers,Values,Amount of customers
152,1 server(s),9411.174042176764,100000
153,1 server(s),9349.907717401738,100000
154,1 server(s),10228.991462839767,100000
155,1 server(s),10136.25116434796,100000
156,1 server(s),10616.226391858652,100000
157,1 server(s),9981.870799474984,100000
158,1 server(s),10631.560273269115,100000
159,1 server(s),9894.15262400009,100000
160,1 server(s),9484.192530411588,100000
161,1 server(s),9281.869243053867,100000
162,1 server(s),11096.125997718265,100000
163,1 server(s),9393.325649455972,100000
164,1 server(s),10606.78049503393,100000
165,1 server(s),10175.271386678785,100000
166,1 server(s),10108.442977309993,100000
167,1 server(s),10633.49908528232,100000
168,1 server(s),10324.558013983215,100000
169,1 server(s),10305.132023234462,100000
170,1 server(s),10040.941016599707,100000
171,1 server(s),9894.61397569016,100000
172,1 server(s),9770.562952780741,100000
173,1 server(s),10228.913148009686,100000
174,1 server(s),10529.866893169803,100000
175,1 server(s),9341.809458763146,100000
176,1 server(s),10715.159985811586,100000
177,1 server(s),9156.986117325292,100000
178,1 server(s),8968.840563875212,100000
179,1 server(s),10369.94630101261,100000
180,1 server(s),10792.002997151416,100000
181,1 server(s),9996.341525404914,100000
182,1 server(s),10589.6894544788,100000
183,1 server(s),10930.127915975503,100000
184,1 server(s),8776.136990056704,100000
185,1 server(s),10280.637024892952,100000
186,1 server(s),11308.215633576037,100000
187,1 server(s),9465.115520493204,100000
188,1 server(s),9369.33227852546,100000
189,1 server(s),9770.120158020163,100000
190,1 server(s),10951.292029900205,100000
191,1 server(s),11317.712750939912,100000
192,1 server(s),9558.181731263248,100000
193,1 server(s),9734.139824984286,100000
194,1 server(s),9537.536823061217,100000
195,1 server(s),9665.701135342933,100000
196,1 server(s),9707.689787916912,100000
197,1 server(s),8776.182146250903,100000
198,1 server(s),9308.900370215513,100000
199,1 server(s),10940.717276643314,100000
200,1 server(s),10189.392526150239,100000
201,1 server(s),9239.135305200984,100000
202,1 server(s),9570.01618911737,100000
203,1 server(s),10191.24701695034,100000
204,1 server(s),11349.54887352841,100000
205,1 server(s),9768.663914689767,100000
206,1 server(s),9564.86939040709,100000
207,1 server(s),9783.602990057896,100000
208,1 server(s),9152.800426958478,100000
209,1 server(s),7844.626038510753,100000
210,1 server(s),9368.665447363357,100000
211,1 server(s),9583.404765691086,100000
212,1 server(s),8555.862164016558,100000
213,1 server(s),11271.913940986273,100000
214,1 server(s),9299.3180757056,100000
215,1 server(s),10312.226324685484,100000
216,1 server(s),10158.907919825484,100000
217,1 server(s),10531.898122245,100000
218,1 server(s),9971.395017433695,100000
219,1 server(s),9903.553809775352,100000
220,1 server(s),8722.577320702343,100000
221,1 server(s),10671.992626986594,100000
222,1 server(s),10311.6233603724,100000
223,1 server(s),11214.933861905274,100000
224,1 server(s),10504.777035822479,100000
225,1 server(s),10702.669357438854,100000
226,1 server(s),10160.55969027676,100000
227,1 server(s),10124.303974059483,100000
228,1 server(s),9850.485945993205,100000
229,1 server(s),10140.05596721012,100000
230,1 server(s),10936.946181721472,100000
231,1 server(s),10970.239830512659,100000
232,1 server(s),9470.034654016876,100000
233,1 server(s),9051.335038814641,100000
234,1 server(s),10033.17192693962,100000
235,1 server(s),10139.644519158703,100000
236,1 server(s),9000.616187478878,100000
237,1 server(s),10028.906369021006,100000
238,1 server(s),9652.038975750947,100000
239,1 server(s),10587.86290512366,100000
240,1 server(s),9852.648073817962,100000
241,1 server(s),10123.51601047999,100000
242,1 server(s),9908.168572136321,100000
243,1 server(s),9567.718555242986,100000
244,1 server(s),10879.256993733521,100000
245,1 server(s),10659.625840986933,100000
246,1 server(s),8771.52811026794,100000
247,1 server(s),11107.014865409317,100000
248,1 server(s),9444.0522959297,100000
249,1 server(s),10009.359965665344,100000
250,1 server(s),11260.48295388759,100000
251,1 server(s),10379.204810103205,100000
252,1 server(s),9363.43629786572,100000
253,1 server(s),10305.829480629738,100000
254,1 server(s),9123.524299236398,100000
255,1 server(s),10562.178277254468,100000
256,1 server(s),9455.60867551811,100000
257,1 server(s),10798.779709723101,100000
258,1 server(s),9919.879583749269,100000
259,1 server(s),8891.461046207653,100000
260,1 server(s),8740.531931207279,100000
261,1 server(s),10709.995944888738,100000
262,1 server(s),10226.281365302078,100000
263,1 server(s),9530.434301187592,100000
264,1 server(s),10300.239067748931,100000
265,1 server(s),9075.441544306614,100000
266,1 server(s),10257.275493469533,100000
267,1 server(s),9933.860745501057,100000
268,1 server(s),9894.353525321276,100000
269,1 server(s),10437.065373407666,100000
270,1 server(s),10171.9095112416,100000
271,1 server(s),10192.426276221815,100000
272,1 server(s),9102.66333411925,100000
273,1 server(s),10421.00687389411,100000
274,1 server(s),10787.808093063504,100000
275,1 server(s),10550.994446612787,100000
276,1 server(s),8550.874090215193,100000
277,1 server(s),8595.47010890095,100000
278,1 server(s),9848.935106178227,100000
