,Rho,Values,Amount of Customers
151, Value: 0.1,0.10607658525104753,25000
152, Value: 0.1,0.11065621777908308,25000
153, Value: 0.1,0.10634051094734728,25000
154, Value: 0.1,0.10950945622197308,25000
155, Value: 0.1,0.11651673343050621,25000
156, Value: 0.1,0.11438776871574775,25000
157, Value: 0.1,0.11519666527264251,25000
158, Value: 0.1,0.11182505513509333,25000
159, Value: 0.1,0.1093230380493079,25000
160, Value: 0.1,0.11314366822595262,25000
161, Value: 0.1,0.11601539706412808,25000
162, Value: 0.1,0.11175546030586903,25000
163, Value: 0.1,0.11715379795721541,25000
164, Value: 0.1,0.10474550983734496,25000
165, Value: 0.1,0.11069029861601185,25000
166, Value: 0.1,0.10855839566077169,25000
167, Value: 0.1,0.11111745920437065,25000
168, Value: 0.1,0.10561173195417134,25000
169, Value: 0.1,0.1118065374061394,25000
170, Value: 0.1,0.10499292908058822,25000
171, Value: 0.1,0.1114227065645104,25000
172, Value: 0.1,0.10523045411212939,25000
173, Value: 0.1,0.10662167500312138,25000
174, Value: 0.1,0.1020224594577212,25000
175, Value: 0.1,0.10869845004719388,25000
176, Value: 0.1,0.11013908273252382,25000
177, Value: 0.1,0.1132445282342398,25000
178, Value: 0.1,0.1141337645732907,25000
179, Value: 0.1,0.10919829019758323,25000
180, Value: 0.1,0.10760291111211594,25000
181, Value: 0.1,0.11006104730414601,25000
182, Value: 0.1,0.11620778767333173,25000
183, Value: 0.1,0.10656795554931738,25000
184, Value: 0.1,0.11311431900250514,25000
185, Value: 0.1,0.11606452553514682,25000
186, Value: 0.1,0.10403434008408802,25000
187, Value: 0.1,0.11216814363994121,25000
188, Value: 0.1,0.11055209215483269,25000
189, Value: 0.1,0.11296534726783491,25000
190, Value: 0.1,0.11113577421739004,25000
191, Value: 0.1,0.11283215960579447,25000
192, Value: 0.1,0.11379935166895093,25000
193, Value: 0.1,0.11273064266870182,25000
194, Value: 0.1,0.10636322737174825,25000
195, Value: 0.1,0.11475915976254433,25000
196, Value: 0.1,0.11815571159461316,25000
197, Value: 0.1,0.10612781584367686,25000
198, Value: 0.1,0.11054465500593938,25000
199, Value: 0.1,0.11376130331802367,25000
200, Value: 0.1,0.10936992893831475,25000
201, Value: 0.1,0.10807717720902979,25000
202, Value: 0.1,0.11066097692418421,25000
203, Value: 0.1,0.11502312899261573,25000
204, Value: 0.1,0.10871995673858531,25000
205, Value: 0.1,0.11160927281886292,25000
206, Value: 0.1,0.11187465990854495,25000
207, Value: 0.1,0.11174956400407376,25000
208, Value: 0.1,0.10627640873976779,25000
209, Value: 0.1,0.114546785851674,25000
210, Value: 0.1,0.10915471793868717,25000
211, Value: 0.1,0.11133562125923116,25000
212, Value: 0.1,0.1122448876612724,25000
213, Value: 0.1,0.11515101462777011,25000
214, Value: 0.1,0.10599677072618677,25000
215, Value: 0.1,0.11530674601780622,25000
216, Value: 0.1,0.11142068687131296,25000
217, Value: 0.1,0.11132261696215351,25000
218, Value: 0.1,0.10363961158302325,25000
219, Value: 0.1,0.10809621139129871,25000
220, Value: 0.1,0.10849430235951325,25000
221, Value: 0.1,0.11415752483376422,25000
222, Value: 0.1,0.11402529626069574,25000
223, Value: 0.1,0.11065990578311177,25000
224, Value: 0.1,0.11302140816698411,25000
225, Value: 0.1,0.10939573033393121,25000
226, Value: 0.1,0.11988786805683609,25000
227, Value: 0.1,0.1076352346879012,25000
228, Value: 0.1,0.10801391138870906,25000
229, Value: 0.1,0.11011363766637793,25000
230, Value: 0.1,0.10976284170509587,25000
231, Value: 0.1,0.118053575766964,25000
232, Value: 0.1,0.1078000345539689,25000
233, Value: 0.1,0.10717811168829093,25000
234, Value: 0.1,0.11227970108046612,25000
235, Value: 0.1,0.11414996229532466,25000
236, Value: 0.1,0.10609228622545666,25000
237, Value: 0.1,0.10633492339812216,25000
238, Value: 0.1,0.11270646626965314,25000
239, Value: 0.1,0.11929357517225009,25000
240, Value: 0.1,0.1123535960090782,25000
241, Value: 0.1,0.10256153134340093,25000
242, Value: 0.1,0.11360654324078448,25000
243, Value: 0.1,0.11102245023086899,25000
244, Value: 0.1,0.10833002810172532,25000
