,Customers,Values
708,10 customer(s),0.01
709,10 customer(s),0.01
710,10 customer(s),0.01
711,10 customer(s),0.01
712,10 customer(s),0.0
713,10 customer(s),0.01
714,10 customer(s),0.01
715,10 customer(s),0.01
716,10 customer(s),0.0
717,10 customer(s),0.01
718,10 customer(s),0.0
719,10 customer(s),0.01
720,10 customer(s),0.01
721,10 customer(s),0.0
722,10 customer(s),0.01
723,10 customer(s),0.01
724,10 customer(s),0.0
725,10 customer(s),0.01
726,10 customer(s),0.01
727,10 customer(s),0.01
728,10 customer(s),0.01
729,10 customer(s),0.0
730,10 customer(s),0.01
731,10 customer(s),0.01
732,10 customer(s),0.01
733,10 customer(s),0.0
734,10 customer(s),0.0
735,10 customer(s),0.01
736,10 customer(s),0.01
737,10 customer(s),0.01
738,10 customer(s),0.0
739,10 customer(s),0.01
740,10 customer(s),0.0
741,10 customer(s),0.0
742,10 customer(s),0.01
743,10 customer(s),0.0
744,10 customer(s),0.0
745,10 customer(s),0.01
746,10 customer(s),0.01
747,10 customer(s),0.01
748,10 customer(s),0.01
749,10 customer(s),0.01
750,10 customer(s),0.01
751,10 customer(s),0.01
752,10 customer(s),0.01
753,10 customer(s),0.0
754,10 customer(s),0.0
755,10 customer(s),0.0
756,10 customer(s),0.01
757,10 customer(s),0.01
758,10 customer(s),0.01
759,10 customer(s),0.01
760,10 customer(s),0.01
761,10 customer(s),0.01
762,10 customer(s),0.0
763,10 customer(s),0.01
764,10 customer(s),0.01
765,10 customer(s),0.01
766,10 customer(s),0.0
767,10 customer(s),0.01
768,10 customer(s),0.0
769,10 customer(s),0.01
770,10 customer(s),0.01
771,10 customer(s),0.0
772,10 customer(s),0.01
773,10 customer(s),0.01
774,10 customer(s),0.0
775,10 customer(s),0.01
776,10 customer(s),0.01
777,10 customer(s),0.01
778,10 customer(s),0.01
779,10 customer(s),0.0
780,10 customer(s),0.01
781,10 customer(s),0.01
782,10 customer(s),0.01
783,10 customer(s),0.0
784,10 customer(s),0.0
785,10 customer(s),0.01
786,10 customer(s),0.01
787,10 customer(s),0.01
788,10 customer(s),0.0
789,10 customer(s),0.01
790,10 customer(s),0.0
791,10 customer(s),0.0
792,10 customer(s),0.01
793,10 customer(s),0.0
794,10 customer(s),0.0
795,10 customer(s),0.01
796,10 customer(s),0.01
797,10 customer(s),0.01
798,10 customer(s),0.01
799,10 customer(s),0.01
800,10 customer(s),0.01
801,10 customer(s),0.01
802,10 customer(s),0.01
803,10 customer(s),0.0
804,10 customer(s),0.0
805,10 customer(s),0.0
806,10 customer(s),0.01
807,10 customer(s),0.01
808,10 customer(s),0.01
809,10 customer(s),0.01
810,10 customer(s),0.01
811,10 customer(s),0.01
812,10 customer(s),0.0
813,10 customer(s),0.01
814,10 customer(s),0.01
815,10 customer(s),0.01
816,10 customer(s),0.0
817,10 customer(s),0.01
818,10 customer(s),0.0
819,10 customer(s),0.01
820,10 customer(s),0.01
821,10 customer(s),0.0
822,10 customer(s),0.01
823,10 customer(s),0.01
824,10 customer(s),0.0
825,10 customer(s),0.01
826,10 customer(s),0.01
827,10 customer(s),0.01
828,10 customer(s),0.01
829,10 customer(s),0.0
830,10 customer(s),0.01
831,10 customer(s),0.01
832,10 customer(s),0.01
833,10 customer(s),0.0
834,10 customer(s),0.0
835,10 customer(s),0.01
836,10 customer(s),0.01
837,10 customer(s),0.01
838,10 customer(s),0.0
839,10 customer(s),0.01
840,10 customer(s),0.0
841,10 customer(s),0.0
842,10 customer(s),0.01
843,10 customer(s),0.0
844,10 customer(s),0.0
845,10 customer(s),0.01
846,10 customer(s),0.01
847,10 customer(s),0.01
848,10 customer(s),0.01
849,10 customer(s),0.01
850,10 customer(s),0.01
851,10 customer(s),0.01
852,10 customer(s),0.01
853,10 customer(s),0.0
854,10 customer(s),0.0
855,10 customer(s),0.0
856,10 customer(s),0.01
857,10 customer(s),0.01
858,10 customer(s),0.01
859,10 customer(s),0.01
860,10 customer(s),0.01
861,10 customer(s),0.01
862,10 customer(s),0.0
863,10 customer(s),0.01
864,10 customer(s),0.01
865,10 customer(s),0.01
866,10 customer(s),0.0
867,10 customer(s),0.01
868,10 customer(s),0.0
869,10 customer(s),0.01
870,10 customer(s),0.01
871,10 customer(s),0.0
872,10 customer(s),0.01
873,10 customer(s),0.01
874,10 customer(s),0.0
875,10 customer(s),0.01
876,10 customer(s),0.01
877,10 customer(s),0.01
878,10 customer(s),0.01
879,10 customer(s),0.0
880,10 customer(s),0.01
881,10 customer(s),0.01
882,10 customer(s),0.01
